"","X1","study","time","male","calm","secure","tense","regretful","at.ease","upset","worrying","rested","anxious","comfortable","confident","nervous","jittery","high.strung","relaxed","content","worried","rattled","joyful","pleasant"
"19",19,"AGES",1,0,2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20",20,"AGES",1,1,4,2,1,2,3,1,1,2,1,3,2,1,2,1,2,3,1,1,3,3
"21",21,"AGES",1,0,2,2,3,1,2,1,1,2,3,2,2,2,2,1,2,3,1,1,2,3
"22",22,"AGES",1,1,3,3,2,1,3,2,1,2,3,3,3,2,4,3,2,2,1,3,2,3
"23",23,"AGES",1,0,3,2,1,1,3,1,2,3,1,2,2,1,1,1,3,2,1,1,2,2
"24",24,"AGES",1,1,2,2,3,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1
"25",25,"AGES",1,0,4,3,1,1,4,1,1,1,1,3,2,1,1,1,3,2,1,1,2,2
"26",26,"AGES",1,1,2,2,1,1,3,1,1,2,1,2,2,1,1,1,3,2,1,1,1,2
"27",27,"AGES",1,0,3,2,2,1,2,3,2,1,1,1,2,1,1,3,2,2,1,1,1,2
"28",28,"AGES",1,1,4,2,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,3,4
"29",29,"AGES",1,0,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1
"30",30,"AGES",1,1,2,3,2,1,3,1,1,1,3,3,4,2,2,2,2,3,3,2,3,4
"31",31,"AGES",1,0,2,2,1,1,3,1,2,2,1,3,3,1,1,1,3,2,2,1,2,2
"32",32,"AGES",1,1,4,2,1,1,2,2,2,2,1,3,3,1,1,1,3,3,1,1,1,3
"33",33,"AGES",1,0,2,3,1,1,3,1,1,2,2,2,3,2,1,2,2,2,1,2,3,3
"34",34,"AGES",1,1,3,3,2,1,2,1,2,1,2,1,2,1,1,1,1,3,1,1,1,1
"35",35,"AGES",1,0,2,3,4,1,2,3,3,2,3,2,3,2,3,3,2,2,3,1,2,2
"36",36,"AGES",1,1,4,4,1,1,4,1,1,1,1,4,3,1,1,1,4,4,1,1,3,4
"37",37,"AGES",1,0,3,2,1,1,3,1,2,3,2,3,2,1,2,1,3,3,2,1,2,3
"38",38,"AGES",1,1,2,1,2,4,1,4,4,1,4,1,2,3,3,3,1,1,4,3,1,4
"39",39,"AGES",1,0,4,4,1,1,4,1,1,2,1,3,4,1,1,1,3,3,1,1,2,3
"40",40,"AGES",1,1,4,4,2,2,3,2,1,2,1,2,4,2,2,1,4,3,2,1,1,3
"41",41,"AGES",1,0,3,3,1,1,4,1,1,1,1,2,3,1,3,1,3,3,1,1,1,2
"42",42,"AGES",1,1,2,2,2,1,2,1,4,2,2,2,2,2,2,2,2,2,1,1,2,2
"43",43,"AGES",1,0,4,4,1,2,4,1,2,2,1,3,3,1,2,1,3,3,2,1,2,3
"44",44,"AGES",1,1,3,2,2,1,2,1,2,2,1,2,2,1,1,1,3,2,2,1,1,2
"45",45,"AGES",1,0,3,3,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,3,3
"46",46,"AGES",1,1,3,3,2,1,2,2,3,1,2,1,2,2,1,2,2,2,3,1,1,2
"47",47,"AGES",1,0,2,3,2,1,3,2,3,2,2,3,3,2,1,1,2,2,1,1,2,2
"48",48,"AGES",1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2
"49",49,"AGES",1,0,3,3,1,1,3,1,1,2,1,3,2,1,1,1,3,3,1,1,3,3
"50",50,"AGES",1,1,4,3,2,1,3,1,2,3,1,3,3,1,1,1,3,4,2,1,3,3
"51",51,"AGES",1,0,2,4,3,3,2,2,4,1,3,3,3,2,2,2,2,2,2,1,1,2
"52",52,"AGES",1,1,4,4,1,1,4,1,1,3,1,3,4,1,1,1,4,4,1,1,3,4
"53",53,"AGES",1,0,2,3,3,2,3,2,4,1,2,2,3,2,2,1,2,2,3,1,1,1
"54",54,"AGES",1,1,2,2,3,1,2,3,2,2,3,2,2,3,1,3,2,2,3,1,2,2
"55",55,"AGES",1,0,2,3,1,1,3,1,1,1,1,3,2,1,1,1,3,3,1,1,2,3
"56",56,"AGES",1,1,4,4,2,1,4,1,1,2,1,4,4,2,2,1,3,4,1,1,1,4
"57",57,"AGES",1,0,3,3,1,1,3,1,1,3,1,3,2,1,1,1,2,2,1,1,1,1
"58",58,"AGES",1,1,3,3,1,1,3,2,1,3,1,3,3,1,1,1,3,3,2,1,3,3
"59",59,"AGES",1,0,2,3,2,1,2,1,1,1,3,1,3,1,2,1,2,3,2,1,1,2
"60",60,"AGES",1,1,3,4,1,1,3,1,2,2,1,3,4,1,1,1,2,3,1,1,2,2
"61",61,"AGES",1,0,3,3,2,1,2,1,2,3,2,3,3,2,2,2,2,3,3,2,2,3
"62",62,"AGES",1,1,4,2,1,1,4,2,1,1,2,4,2,1,1,1,4,3,1,1,1,2
"63",63,"AGES",1,0,2,3,2,1,1,1,2,1,2,1,2,2,2,2,1,2,3,2,1,1
"64",64,"AGES",1,1,4,4,1,1,4,1,2,1,1,4,4,1,1,1,4,3,1,1,2,2
"65",65,"AGES",1,0,4,4,1,1,3,1,1,1,1,3,3,1,1,1,4,4,1,1,3,3
"66",66,"AGES",1,1,1,3,4,1,1,2,4,2,4,2,3,4,4,4,1,3,4,4,2,3
"67",67,"AGES",1,0,2,2,2,1,2,1,4,4,3,2,2,2,2,3,2,2,3,2,1,2
"68",68,"AGES",1,1,1,4,1,1,3,1,1,3,1,3,4,1,4,4,1,2,1,1,4,4
"69",69,"AGES",2,0,3,3,2,1,2,1,1,3,2,3,3,2,2,2,3,3,1,1,3,3
"70",70,"AGES",2,1,3,3,2,2,2,3,2,1,2,2,2,2,1,1,3,2,3,1,2,3
"71",71,"AGES",2,0,2,3,2,1,3,1,2,2,1,3,3,2,2,1,3,3,2,1,2,3
"72",72,"AGES",2,1,2,4,2,1,2,1,1,3,2,4,3,2,3,2,2,4,1,3,3,3
"73",73,"AGES",2,0,3,3,1,1,2,1,1,3,1,3,3,1,1,1,2,3,1,1,1,3
"74",74,"AGES",2,1,4,4,1,1,4,1,1,4,4,4,4,1,1,2,4,4,1,1,4,4
"75",75,"AGES",2,0,2,2,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2
"76",76,"AGES",2,1,4,4,1,1,4,1,1,2,1,3,2,1,1,1,4,3,1,1,2,3
"77",77,"AGES",2,0,1,3,4,2,1,2,2,1,3,3,2,4,4,4,1,2,1,4,2,1
"78",78,"AGES",2,1,3,3,1,1,2,1,2,2,1,2,3,1,1,1,2,2,1,1,2,3
"79",79,"AGES",2,0,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1
"80",80,"AGES",2,1,1,3,4,1,1,2,1,2,3,1,3,3,3,3,2,2,1,4,1,2
"81",81,"AGES",2,0,3,3,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,2,2
"82",82,"AGES",2,1,2,2,2,1,1,1,2,1,2,2,3,2,1,1,3,2,2,1,2,1
"83",83,"AGES",2,0,4,4,1,1,4,1,1,3,1,4,4,1,1,1,3,4,1,1,4,4
"84",84,"AGES",2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"85",85,"AGES",2,0,1,2,4,1,1,1,1,1,4,1,1,1,4,4,1,1,1,4,1,1
"86",86,"AGES",2,1,2,1,3,2,1,1,3,2,3,2,2,2,1,3,2,1,4,2,1,2
"87",87,"AGES",2,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"88",88,"AGES",2,1,3,2,1,2,3,1,2,2,1,3,2,1,2,1,2,3,2,2,3,3
"89",89,"AGES",2,0,1,2,3,1,1,2,1,2,3,2,2,3,2,2,1,2,1,2,1,1
"90",90,"AGES",2,1,2,3,3,1,2,1,1,2,3,2,3,3,3,3,2,3,2,3,3,3
"91",91,"AGES",2,0,3,2,1,1,3,1,2,3,1,2,2,1,1,1,3,2,1,1,2,2
"92",92,"AGES",2,1,1,1,3,1,1,2,4,1,2,1,1,3,3,2,1,1,3,1,1,1
"93",93,"AGES",2,0,4,3,1,1,4,1,1,1,1,3,2,1,1,1,3,2,1,1,1,3
"94",94,"AGES",2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,3,NA,1,1,1,1
"95",95,"AGES",2,0,2,2,1,1,2,3,2,1,1,1,2,1,1,3,4,1,1,1,1,1
"96",96,"AGES",2,1,4,3,1,1,3,1,1,2,1,3,3,1,1,1,4,3,1,1,2,4
"97",97,"AGES",2,0,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1
"98",98,"AGES",2,1,2,4,2,1,2,1,1,1,2,2,4,3,3,2,2,2,1,2,3,3
"99",99,"AGES",2,0,2,2,1,1,3,1,2,2,1,3,2,1,1,1,3,2,2,1,1,3
"100",100,"AGES",2,1,2,2,1,2,2,1,2,2,1,3,2,1,1,1,3,3,1,1,2,2
"101",101,"AGES",2,0,2,2,1,1,2,1,1,2,3,2,3,1,1,1,2,2,1,1,2,2
"102",102,"AGES",2,1,1,2,3,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1
"103",103,"AGES",2,0,2,2,3,1,2,3,2,1,3,2,2,3,2,3,2,2,3,1,2,2
"104",104,"AGES",2,1,4,4,1,1,4,1,1,2,1,4,3,1,1,1,4,4,1,1,3,4
"105",105,"AGES",2,0,3,2,2,2,2,1,2,2,2,3,2,1,2,1,2,2,1,1,2,2
"106",106,"AGES",2,1,1,1,3,4,1,3,4,1,1,1,1,3,4,4,1,1,4,1,3,1
"107",107,"AGES",2,0,4,4,1,1,3,1,1,2,1,3,4,1,2,1,3,3,1,1,2,3
"108",108,"AGES",2,1,4,3,2,2,2,1,1,NA,2,3,4,2,1,1,3,3,2,1,3,2
"109",109,"AGES",2,0,3,2,1,1,3,1,1,4,1,2,2,1,3,1,3,2,1,1,1,2
"110",110,"AGES",2,1,2,2,1,2,2,1,1,3,1,2,1,1,1,1,2,2,1,1,1,1
"111",111,"AGES",2,0,3,3,2,1,3,1,1,2,1,3,3,2,2,1,3,3,2,1,2,3
"112",112,"AGES",2,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2
"113",113,"AGES",2,0,3,3,1,1,3,1,1,2,1,3,2,1,1,1,3,3,1,1,3,3
"114",114,"AGES",2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2
"115",115,"AGES",2,0,1,2,3,2,1,2,2,2,3,2,2,3,3,3,2,2,2,2,1,2
"116",116,"AGES",2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1
"117",117,"AGES",2,0,2,4,1,1,3,1,1,4,2,2,4,2,2,2,3,4,1,2,3,4
"118",118,"AGES",2,1,3,3,1,1,3,1,2,2,1,3,3,1,1,1,2,3,2,1,3,3
"119",119,"AGES",2,0,2,4,3,3,2,3,3,1,2,3,3,3,2,2,2,1,3,1,1,2
"120",120,"AGES",2,1,4,3,1,1,4,1,1,3,1,3,3,1,1,1,4,4,1,1,3,4
"121",121,"AGES",2,0,2,2,2,1,2,1,2,1,2,3,2,2,2,2,3,3,2,1,1,2
"122",122,"AGES",2,1,2,2,3,1,2,2,3,2,2,2,2,2,1,3,2,2,3,1,2,2
"123",123,"AGES",2,0,3,2,2,1,1,2,3,1,2,4,2,2,3,2,1,4,2,1,4,2
"124",124,"AGES",2,1,3,4,2,1,3,2,1,2,3,3,3,3,3,2,2,3,2,2,1,3
"125",125,"AGES",2,0,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2
"126",126,"AGES",2,1,3,3,2,1,3,2,1,2,1,3,3,1,1,1,3,3,2,1,2,3
"127",127,"AGES",2,0,1,1,2,1,1,1,1,1,3,1,3,1,2,1,2,1,1,1,1,1
"128",128,"AGES",2,1,3,4,1,1,3,1,2,3,2,4,4,1,1,1,3,3,1,1,2,3
"129",129,"AGES",2,0,4,3,2,1,4,1,2,2,2,3,3,2,2,2,2,3,2,3,3,3
"130",130,"AGES",2,1,4,3,1,1,4,1,1,1,2,4,2,1,1,1,3,3,1,1,1,2
"131",131,"AGES",2,0,1,4,3,1,1,2,2,1,4,1,2,3,4,3,1,1,1,3,1,1
"132",132,"AGES",2,1,4,4,1,1,4,1,2,2,2,3,4,1,1,1,4,4,2,1,2,2
"133",133,"AGES",2,0,4,4,1,1,3,1,1,1,1,3,3,1,1,1,4,4,1,1,2,4
"134",134,"AGES",2,1,2,3,4,1,2,1,3,2,4,2,2,4,4,3,2,2,4,4,2,2
"135",135,"AGES",2,0,2,2,3,1,2,1,2,4,3,2,2,2,3,2,2,2,2,3,2,3
"136",136,"AGES",2,1,1,4,1,1,1,1,1,4,4,1,4,1,4,4,1,1,1,1,4,4
"137",137,"Cart",1,0,4,2,1,1,3,1,2,3,1,2,2,1,1,1,3,2,1,1,1,2
"138",138,"Cart",1,1,4,4,1,1,4,1,1,2,1,4,4,1,1,1,4,4,1,1,3,4
"139",139,"Cart",1,0,2,2,2,1,2,1,1,1,2,3,2,2,3,2,2,2,1,2,2,2
"140",140,"Cart",1,1,3,3,2,1,3,1,1,2,2,3,3,2,1,1,3,3,2,1,2,3
"141",141,"Cart",1,0,4,3,1,1,2,1,1,2,2,3,2,1,1,1,2,2,1,1,1,3
"142",142,"Cart",1,1,4,3,1,1,3,1,2,2,1,2,3,1,1,1,3,3,2,1,1,3
"143",143,"Cart",1,0,4,3,1,1,2,1,1,3,1,2,1,1,1,1,2,2,1,1,1,2
"144",144,"Cart",1,1,4,3,1,1,4,1,1,3,1,3,3,1,1,1,4,4,1,2,3,3
"145",145,"Cart",1,0,2,2,3,3,2,3,4,1,3,1,1,3,1,1,1,1,3,1,1,1
"146",146,"Cart",1,1,3,3,2,1,3,3,2,1,1,2,3,1,1,1,3,2,3,2,2,2
"147",147,"Cart",1,0,4,4,1,1,3,1,1,2,1,3,4,1,1,1,3,3,1,1,1,3
"148",148,"Cart",1,1,4,3,2,1,4,2,2,2,2,3,3,2,1,2,4,4,2,1,1,2
"149",149,"Cart",1,0,3,2,1,2,2,1,1,2,1,2,2,1,1,1,2,NA,NA,NA,NA,NA
"150",150,"Cart",1,1,4,3,1,2,2,1,3,1,2,3,3,1,1,1,4,2,2,1,2,2
"151",151,"Cart",1,0,2,2,2,1,2,1,2,2,1,2,2,3,3,2,2,2,1,2,2,2
"152",152,"Cart",1,1,2,4,2,1,3,1,1,1,1,3,3,1,2,2,1,4,1,1,1,1
"153",153,"Cart",1,0,4,4,1,1,3,1,1,1,2,3,3,2,2,1,3,3,2,1,2,4
"154",154,"Cart",1,1,3,3,2,1,2,1,2,2,1,2,3,1,1,2,2,1,2,1,1,1
"155",155,"Cart",1,0,3,3,1,1,3,2,4,2,2,3,3,1,1,1,3,2,2,1,1,2
"156",156,"Cart",1,1,3,3,1,1,3,1,1,1,1,3,2,1,1,1,2,2,2,1,1,2
"157",157,"Cart",1,0,3,3,1,1,3,1,1,2,1,3,2,1,1,1,3,4,1,1,2,2
"158",158,"Cart",1,1,4,4,1,1,4,1,1,3,1,3,3,1,1,1,4,3,1,1,1,3
"159",159,"Cart",1,0,3,2,2,2,2,1,3,2,2,2,3,2,2,1,3,2,2,1,2,2
"160",160,"Cart",1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,2,3
"161",161,"Cart",1,0,4,4,1,4,1,1,1,3,1,4,4,1,1,1,4,4,1,1,3,4
"162",162,"Cart",1,1,3,3,1,1,3,1,2,1,1,3,3,1,1,1,2,3,2,1,1,2
"163",163,"Cart",1,0,2,2,1,1,3,1,1,2,1,2,2,1,1,1,2,3,1,1,1,1
"164",164,"Cart",1,1,4,4,1,3,4,1,1,1,1,1,2,1,1,1,2,3,1,1,1,3
"165",165,"Cart",1,0,4,4,1,1,4,1,2,2,1,4,4,1,1,1,4,4,1,1,3,4
"166",166,"Cart",1,1,4,3,2,1,4,1,2,1,2,2,4,1,1,1,3,3,1,1,2,3
"167",167,"Cart",1,0,4,4,1,1,4,2,2,1,2,2,3,1,1,2,2,2,2,1,2,2
"168",168,"Cart",1,1,4,4,1,1,4,1,1,3,1,4,3,2,1,1,3,3,1,1,2,3
"169",169,"Cart",1,0,4,3,1,1,4,1,2,3,1,4,1,1,1,1,4,4,1,1,2,4
"170",170,"Cart",1,1,4,4,1,1,4,1,1,3,1,4,4,1,1,1,4,4,1,1,4,4
"171",171,"Cart",1,0,4,4,1,1,3,1,1,2,2,3,4,1,1,1,3,3,1,1,2,3
"172",172,"Cart",1,1,4,3,1,1,2,1,1,1,1,3,2,1,1,1,4,2,1,1,2,2
"173",173,"Cart",1,0,2,2,1,1,3,1,1,1,1,2,2,1,1,1,2,2,1,1,2,3
"174",174,"Cart",1,1,3,4,1,1,3,1,1,2,2,3,3,1,1,1,3,4,1,1,3,4
"175",175,"Cart",1,0,2,3,1,1,3,1,2,3,1,3,3,1,2,1,3,3,2,1,1,3
"176",176,"Cart",1,1,4,4,1,2,4,1,2,4,2,4,4,1,1,1,4,4,1,1,2,4
"177",177,"Cart",1,0,3,3,1,1,2,1,1,2,1,2,2,1,1,1,3,2,1,1,1,2
"178",178,"Cart",1,1,3,3,1,1,3,1,1,2,1,3,4,2,1,1,3,3,1,1,3,3
"179",179,"Cart",1,0,3,2,2,3,2,2,4,2,2,3,2,2,3,3,1,3,3,2,3,3
"180",180,"Cart",1,1,4,3,1,1,3,1,2,3,2,3,3,2,1,1,3,2,1,1,3,3
"181",181,"Cart",1,0,4,4,2,1,3,1,1,1,2,2,4,2,2,1,3,4,2,1,3,4
"182",182,"Cart",1,1,3,4,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,1,2,2
"183",183,"Cart",1,0,4,4,1,1,4,1,1,2,1,4,4,1,1,1,4,4,1,1,2,3
"184",184,"Cart",1,1,3,4,1,1,3,1,4,2,1,3,4,2,1,4,3,2,1,2,2,3
"185",185,"Cart",1,0,4,4,1,1,4,1,1,2,1,3,3,1,1,1,4,3,1,1,2,3
"186",186,"Cart",1,1,3,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2
"187",187,"Cart",1,0,2,2,1,2,1,2,2,1,1,3,2,1,1,1,2,2,3,1,1,1
"188",188,"Cart",1,1,2,3,3,1,2,2,3,1,1,2,4,1,2,2,1,3,3,3,2,2
"189",189,"Cart",1,0,3,3,1,1,4,1,1,2,1,4,3,1,1,1,3,3,1,1,1,3
"190",190,"Cart",1,1,2,4,3,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2
"191",191,"Cart",1,0,4,2,1,1,4,2,2,1,3,4,2,1,1,3,2,2,4,1,1,2
"192",192,"Cart",1,1,3,2,2,3,2,2,3,1,2,3,1,2,2,2,4,2,3,1,2,2
"193",193,"Cart",1,0,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,3,1,1,2,3
"194",194,"Cart",1,1,3,3,2,1,2,1,1,1,1,2,1,1,1,1,3,3,1,1,2,2
"195",195,"Cart",1,0,3,3,2,1,2,2,1,2,2,4,2,2,2,2,3,3,2,1,2,3
"196",196,"Cart",1,1,2,2,1,2,2,1,3,2,2,2,2,1,2,1,2,3,2,1,2,3
"197",197,"Cart",1,0,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1
"198",198,"Cart",1,1,4,3,1,1,4,2,4,2,1,4,4,1,1,1,4,1,2,1,1,2
"199",199,"Cart",1,0,4,4,1,1,4,1,1,3,1,4,4,1,1,1,4,4,1,1,3,4
"200",200,"Cart",2,1,4,2,1,1,3,1,2,3,1,2,2,1,1,1,2,1,1,1,1,2
"201",201,"Cart",2,0,4,4,1,1,4,1,2,1,1,4,4,1,1,1,4,4,1,1,3,4
"202",202,"Cart",2,1,3,2,1,1,3,1,1,2,2,3,3,1,2,2,3,3,1,2,2,3
"203",203,"Cart",2,0,4,3,2,1,3,2,1,1,2,2,3,1,1,1,4,1,1,1,1,1
"204",204,"Cart",2,1,2,2,2,1,2,2,1,2,3,2,2,1,1,1,2,2,1,1,1,1
"205",205,"Cart",2,0,3,3,1,1,2,1,1,2,1,3,3,1,1,1,3,3,1,1,1,2
"206",206,"Cart",2,1,3,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2
"207",207,"Cart",2,0,4,3,1,1,4,1,1,2,1,3,3,1,1,1,3,3,1,1,2,2
"208",208,"Cart",2,1,2,2,3,1,2,1,4,1,1,1,2,1,1,3,1,1,1,1,1,1
"209",209,"Cart",2,0,3,3,1,1,3,2,1,2,1,3,4,1,1,2,3,3,1,1,2,3
"210",210,"Cart",2,1,3,3,1,1,3,1,1,2,1,2,3,1,1,1,4,3,1,1,1,3
"211",211,"Cart",2,0,4,3,1,2,3,1,1,2,1,3,2,1,4,2,3,2,1,2,1,2
"212",212,"Cart",2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2
"213",213,"Cart",2,0,3,3,1,2,2,1,2,2,2,2,2,1,1,1,3,1,1,1,2,2
"214",214,"Cart",2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"215",215,"Cart",2,0,2,3,3,1,3,1,1,1,1,3,3,1,1,1,2,2,1,1,1,2
"216",216,"Cart",2,1,3,3,2,2,3,2,1,2,1,3,3,1,1,1,3,2,1,1,2,3
"217",217,"Cart",2,0,2,2,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2
"218",218,"Cart",2,1,2,2,1,1,2,2,3,1,1,2,2,1,1,1,2,2,2,1,2,2
"219",219,"Cart",2,0,3,3,1,1,1,1,1,1,1,3,2,1,1,1,3,2,1,1,1,2
"220",220,"Cart",2,1,3,3,1,1,2,1,1,2,1,2,2,1,1,1,3,3,1,1,2,2
"221",221,"Cart",2,0,2,3,2,1,3,1,1,1,2,2,4,1,1,1,2,3,1,2,1,3
"222",222,"Cart",2,1,2,1,4,3,2,2,3,1,3,2,1,4,4,4,1,1,2,3,1,1
"223",223,"Cart",2,0,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2
"224",224,"Cart",2,1,3,3,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,1,3,3
"225",225,"Cart",2,0,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2
"226",226,"Cart",2,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,3,1,1,1,1
"227",227,"Cart",2,0,3,3,1,1,4,1,1,1,1,3,3,1,1,1,2,3,1,1,1,3
"228",228,"Cart",2,1,4,4,1,1,4,1,1,2,1,4,4,1,1,1,4,4,1,1,3,4
"229",229,"Cart",2,0,3,3,2,1,3,1,1,1,2,2,4,1,1,1,2,3,1,1,1,2
"230",230,"Cart",2,1,4,4,1,2,2,2,1,1,2,2,3,1,1,2,1,1,2,1,1,1
"231",231,"Cart",2,0,3,4,1,1,3,1,1,4,1,4,3,1,1,1,3,3,1,1,3,4
"232",232,"Cart",2,1,4,3,1,1,4,1,1,3,1,4,1,1,1,1,4,3,1,1,1,3
"233",233,"Cart",2,0,4,4,1,1,4,1,1,2,1,4,3,1,1,1,4,4,1,1,4,4
"234",234,"Cart",2,1,2,3,2,1,2,1,1,2,2,3,4,1,2,2,2,2,2,2,2,2
"235",235,"Cart",2,0,3,3,1,3,1,1,1,2,1,2,3,1,1,1,2,3,1,1,2,2
"236",236,"Cart",2,1,3,2,1,1,2,1,1,1,2,2,2,1,1,1,3,2,1,1,1,2
"237",237,"Cart",2,0,3,4,1,1,3,1,1,2,2,3,3,1,1,1,3,3,1,1,2,3
"238",238,"Cart",2,1,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2
"239",239,"Cart",2,0,4,4,1,1,4,1,2,4,1,4,4,1,1,1,4,4,1,1,2,4
"240",240,"Cart",2,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"241",241,"Cart",2,0,2,3,1,NA,1,1,1,2,1,2,4,1,1,1,3,3,1,1,3,3
"242",242,"Cart",2,1,2,2,2,1,2,2,3,1,2,2,4,2,2,3,2,2,2,1,1,2
"243",243,"Cart",2,0,4,3,1,1,2,1,1,2,2,2,2,1,1,1,3,1,1,1,1,1
"244",244,"Cart",2,1,4,4,1,1,4,1,1,1,1,3,3,1,1,1,1,4,1,1,3,4
"245",245,"Cart",2,0,2,3,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,1,3
"246",246,"Cart",2,1,4,4,2,1,3,1,1,2,1,3,3,1,1,1,1,4,1,1,1,3
"247",247,"Cart",2,0,2,4,3,1,2,2,1,2,3,1,3,2,1,3,2,2,1,1,1,3
"248",248,"Cart",2,1,3,3,2,1,3,1,1,3,1,2,3,1,1,1,3,3,1,1,2,2
"249",249,"Cart",2,0,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2
"250",250,"Cart",2,1,4,3,1,1,2,1,1,1,1,2,2,1,1,1,3,2,2,1,1,1
"251",251,"Cart",2,0,2,3,3,1,1,3,2,1,3,1,4,3,4,4,1,1,2,2,1,2
"252",252,"Cart",2,1,3,3,1,1,3,1,1,2,1,3,3,1,1,1,4,3,1,1,1,3
"253",253,"Cart",2,0,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"254",254,"Cart",2,1,4,2,1,1,4,1,1,1,2,4,2,1,1,1,4,1,1,1,1,1
"255",255,"Cart",2,0,3,3,1,3,2,2,3,1,2,3,2,2,2,2,2,2,3,1,2,3
